Project Name,Rental Yield,Rental Volume,Avg Rental PSF,Rental Volume Display,Rental Yield Display
CARIBBEAN AT KEPPEL BAY,3.6%,69,$5.76,69,3.6%
REFLECTIONS AT KEPPEL BAY,3.6%,59,$5.41,59,3.6%
THE INTERLACE,3.5%,44,$4.81,44,3.5%
CORALS AT KEPPEL BAY,3.8%,30,$6.45,30,3.8%
THE COAST AT SENTOSA COVE,3.6%,24,$4.49,24,3.6%
THE REEF AT KING'S DOCK,3.6%,17,$7.61,17,3.6%
SKYLINE RESIDENCES,3.2%,16,$5.75,16,3.2%
THE OCEANFRONT @ SENTOSA COVE,3.6%,14,$5.03,14,3.6%
TERESA VILLE,1.8%,14,$2.91,14,1.8%
THE AZURE,3.4%,13,$4.95,13,3.4%
